x 	 y 	 label 
136.40 	 122.04 	 R 
139.58 	 124.53 	 R 
139.58 	 124.53 	 R 
 41.14 	  47.30 	 R 
137.95 	 123.25 	 R 
137.51 	 122.90 	 R 
135.38 	 121.24 	 R 
137.24 	 122.69 	 R 
137.46 	 122.86 	 R 
138.35 	 123.56 	 R 
136.89 	 122.42 	 R 
