x 	 y 	 label 
64 	 108 	 F 
91 	 155 	 F 
137 	 119 	 F 
137 	 122 	 F 
26 	 18 	 F 
27 	 48 	 F 
140 	 116 	 F 
139 	 123 	 F 
137 	 120 	 F 
21 	 17 	 F 
138 	 122 	 F 
135 	 124 	 F 
134 	 125 	 F 
138 	 125 	 F 
20 	 17 	 F 
137 	 123 	 F 
138 	 125 	 F 
36 	 21 	 F 
106 	 82 	 F 
139 	 125 	 F 
223 	 56 	 F 
138 	 124 	 F 
31 	 74 	 F 
59 	 17 	 F 
138 	 125 	 B 
135 	 122 	 B 
132 	 121 	 B 
133 	 123 	 B 
140 	 123 	 B 
138 	 121 	 B 
139 	 123 	 B 
60 	 125 	 B 
137 	 120 	 B 
137 	 123 	 B 
135 	 123 	 B 
139 	 123 	 B 
140 	 125 	 B 
140 	 124 	 B 
138 	 124 	 B 
142 	 126 	 B 
135 	 121 	 B 
135 	 121 	 B 
140 	 124 	 B 
138 	 125 	 B 
194 	 191 	 B 
137 	 125 	 B 
139 	 121 	 B 
134 	 125 	 B 
138 	 123 	 B 
135 	 123 	 B 
135 	 124 	 B 
138 	 124 	 B 
140 	 125 	 B 
139 	 123 	 B 
136 	 121 	 B 
140 	 125 	 B 
135 	 124 	 B 
136 	 125 	 B 
135 	 120 	 B 
136 	 124 	 B 
140 	 124 	 B 
139 	 125 	 B 
137 	 126 	 B 
137 	 124 	 B 
136 	 127 	 B 
136 	 123 	 B 
137 	 123 	 B 
140 	 124 	 B 
139 	 123 	 B 
138 	 122 	 B 
140 	 124 	 B 
135 	 124 	 B 
140 	 122 	 B 
135 	 126 	 B 
139 	 125 	 B 
139 	 123 	 B 
137 	 123 	 B 
137 	 120 	 B 
134 	 123 	 B 
139 	 124 	 B 
136 	 125 	 B 
142 	 125 	 B 
139 	 128 	 B 
139 	 120 	 B 
138 	 119 	 B 
139 	 119 	 B 
139 	 122 	 B 
137 	 123 	 B 
137 	 127 	 B 
139 	 123 	 B 
138.71 	 124.12 	 R 
135.42 	 121.47 	 R 
133.12 	 119.62 	 R 
134.70 	 120.89 	 R 
138.94 	 124.31 	 R 
136.75 	 122.55 	 R 
 85.53 	  81.28 	 R 
138.34 	 123.82 	 R 
124.87 	 112.97 	 R 
 91.41 	  86.01 	 R 
135.66 	 121.66 	 R 
137.12 	 122.85 	 R 
135.91 	 121.87 	 R 
138.34 	 123.82 	 R 
139.92 	 125.10 	 R 
135.17 	 121.27 	 R 
139.43 	 124.71 	 R 
136.64 	 122.45 	 R 
138.22 	 123.73 	 R 
141.62 	 126.47 	 R 
 18.52 	  27.28 	 R 
134.93 	 121.08 	 R 
134.93 	 121.08 	 R 
139.43 	 124.71 	 R 
138.71 	 124.12 	 R 
204.91 	 177.46 	 R 
138.10 	 123.63 	 R 
137.36 	 123.04 	 R 
 33.78 	  39.58 	 R 
135.52 	 121.56 	 R 
136.28 	 122.17 	 R 
137.73 	 123.33 	 R 
135.91 	 121.87 	 R 
138.34 	 123.82 	 R 
135.66 	 121.66 	 R 
136.40 	 122.26 	 R 
138.22 	 123.73 	 R 
139.92 	 125.10 	 R 
138.34 	 123.82 	 R 
135.54 	 121.57 	 R 
 15.00 	  24.45 	 R 
139.92 	 125.10 	 R 
137.24 	 122.94 	 R 
136.40 	 122.26 	 R 
136.40 	 122.26 	 R 
136.28 	 122.17 	 R 
138.71 	 124.12 	 R 
137.50 	 123.14 	 R 
 14.39 	  23.96 	 R 
134.45 	 120.69 	 R 
137.12 	 122.85 	 R 
137.01 	 122.75 	 R 
139.43 	 124.71 	 R 
139.31 	 124.61 	 R 
138.59 	 124.03 	 R 
137.61 	 123.24 	 R 
138.47 	 123.93 	 R 
136.52 	 122.36 	 R 
137.12 	 122.85 	 R 
139.43 	 124.71 	 R 
138.71 	 124.12 	 R 
138.34 	 123.82 	 R 
 26.05 	  33.35 	 R 
 98.30 	  91.56 	 R 
137.24 	 122.94 	 R 
139.31 	 124.61 	 R 
139.43 	 124.71 	 R 
136.40 	 122.26 	 R 
156.54 	 138.49 	 R 
138.45 	 123.92 	 R 
137.38 	 123.05 	 R 
139.31 	 124.61 	 R 
138.34 	 123.82 	 R 
137.12 	 122.85 	 R 
135.66 	 121.66 	 R 
135.31 	 121.38 	 R 
138.22 	 123.73 	 R 
138.83 	 124.22 	 R 
137.50 	 123.14 	 R 
141.13 	 126.08 	 R 
140.78 	 125.79 	 R 
136.87 	 122.64 	 R 
 48.91 	  51.77 	 R 
135.78 	 121.76 	 R 
136.38 	 122.25 	 R 
137.85 	 123.43 	 R 
137.12 	 122.85 	 R 
139.08 	 124.42 	 R 
 38.04 	  43.01 	 R 
138.34 	 123.82 	 R 
